country,countryterritoryCode,pop,total_cases,total_deaths,CaseperPop,DeathsperPop
Algeria,DZA,42228429,847,58,0.200575778,0.013734823
Angola,AGO,30809762,8,2,0.00259658,0.000649145
Benin,BEN,11485048,13,0,0.011319065,0
Botswana,BWA,2254126,3,1,0.013308928,0.004436309
Burkina Faso,BFA,19751535,261,14,0.132141628,0.007088057
Burundi,BDI,11175378,2,0,0.001789649,0
Cameroon,CMR,25216237,139,6,0.055123213,0.002379419
Cape Verde,CPV,543767,0,0,0,0
Central African Republic,CAF,4666377,8,0,0.017143921,0
Chad,TCD,15477751,7,0,0.004522621,0
Comoros,COM,832322,0,0,0,0
Congo,COG,5244363,22,2,0.041949804,0.003813619
Cote dIvoire,CIV,25069229,0,0,0,0
Democratic Republic of the Congo,COD,84068091,123,11,0.014630997,0.001308463
Equatorial Guinea,GNQ,1308974,14,0,0.106953996,0
Eritrea,ERI,6050000,15,0,0.024793388,0
Eswatini,SWZ,1367000,9,0,0.065837601,0
Ethiopia,ETH,109224559,26,0,0.002380417,0
Gabon,GAB,2119275,7,1,0.033030164,0.004718595
Gambia,GMB,2280102,3,1,0.013157306,0.004385769
Ghana,GHA,29767108,195,5,0.065508547,0.001679706
Guinea,GIN,12414318,30,0,0.024165645,0
Guinea Bissau,GNB,1874309,0,0,0,0
Kenya,KEN,51393010,81,1,0.015760898,0.000194579
Lesotho,LSO,2108132,0,0,0,0
Liberia,LBR,4818977,6,0,0.012450775,0
Madagascar,MDG,26262368,53,0,0.020180968,0
Malawi,MWI,18143315,0,0,0,0
Mali,MLI,19077690,28,0,0.014676829,0
Mauritania,MRT,4403319,5,0,0.011355071,0
Mauritius,MUS,1265303,154,5,1.217099778,0.039516227
Mozambique,MOZ,29495962,10,0,0.003390295,0
Namibia,NAM,2448255,11,0,0.04492996,0
Niger,NER,22442948,74,5,0.032972495,0.002227871
Nigeria,NGA,195874740,139,2,0.007096372,0.000102106
Rwanda,RWA,12301939,82,0,0.066656159,0
Sao Tome and Principe,STP,211028,0,0,0,0
Senegal,SEN,15854360,190,1,0.119840851,0.000630741
Seychelles,SYC,96762,10,0,1.03346355,0
Sierra Leone,SLE,7650154,2,0,0.002614326,0
South Africa,ZAF,57779622,1380,5,0.23883853,0.000865357
South Sudan,SSD,10975920,0,0,0,0
Togo,TGO,7889094,36,2,0.045632616,0.002535145
Uganda,UGA,42723139,44,0,0.010298869,0
United Republic of Tanzania,TZA,56318348,20,1,0.003551241,0.000177562
Zambia,ZMB,17351822,36,0,0.020747101,0
Zimbabwe,ZWE,14439018,8,1,0.005540543,0.000692568
