country,total_cases,total_deaths,new_cases,new_deaths
South Africa,1380,5,27,0
Algeria,847,58,263,23
Burkina Faso,261,14,0,0
Ghana,195,5,43,0
Côte d’Ivoire,190,0,21,0
Senegal,190,1,15,1
Mauritius,154,5,11,0
Cameroon,139,6,0,0
Nigeria,139,2,28,1
Democratic Republic of the Congo,123,11,14,3
Rwanda,82,0,7,0
Kenya,81,1,31,0
Niger,74,5,54,2
Madagascar,53,0,0,0
Uganda,44,0,11,0
Togo,36,2,2,1
Zambia,36,0,1,0
Guinea,30,0,14,0
Mali,28,0,10,0
Ethiopia,26,0,0,0
Congo,22,2,3,2
United Republic of Tanzania,20,1,1,0
Eritrea,15,0,9,0
Equatorial Guinea,14,0,0,0
Benin,13,0,4,0
Namibia,11,0,0,0
Mozambique,10,0,2,0
Seychelles,10,0,2,0
Eswatini,9,0,0,0
Guinea-Bissau,9,0,0,0
Angola,8,2,1,0
Central African Republic,8,0,2,0
Zimbabwe,8,1,0,0
Chad,7,0,0,0
Gabon,7,1,0,0
Liberia,6,0,3,0
Cabo Verde,5,1,0,0
Mauritania,5,0,0,0
Botswana,3,1,0,1
Gambia,3,1,0,0
Burundi,2,0,0,0
Sierra Leone,2,0,1,0
